Chemical,Label
NCGC00261399-01,0.831397
NCGC00260696-01,0.333622
NCGC00261903-01,0.200604
NCGC00261178-01,0.266109
NCGC00261568-01,0.115297
NCGC00260830-01,0.189805
NCGC00261113-01,0.153705
NCGC00261327-01,0.416245
NCGC00261602-01,0.693719
NCGC00260858-01,0.893380
NCGC00261071-01,0.363233
NCGC00261076-01,0.378718
NCGC00261192-01,0.296528
NCGC00261495-01,0.155430
NCGC00261577-01,0.714132
NCGC00261510-01,0.107494
NCGC00261679-01,0.291351
NCGC00261941-01,0.790681
NCGC00261343-01,0.060870
NCGC00261607-01,0.527799
NCGC00261782-01,0.256275
NCGC00261914-01,0.059411
NCGC00261475-01,0.308211
NCGC00261764-01,0.486528
NCGC00261802-01,0.612289
NCGC00260795-01,0.394270
NCGC00261352-01,0.399433
NCGC00261009-01,0.777612
NCGC00261944-01,0.541970
NCGC00261166-01,0.521634
NCGC00261332-01,0.681169
NCGC00261333-01,0.124138
NCGC00261260-01,0.207418
NCGC00261915-01,0.445197
NCGC00261682-01,0.193117
NCGC00261049-01,0.200636
NCGC00260910-01,0.240252
NCGC00261272-01,0.323905
NCGC00260708-01,0.038874
NCGC00261390-01,0.025197
NCGC00260948-01,0.033451
NCGC00261840-01,0.007767
NCGC00260881-01,0.023207
NCGC00261153-01,0.025970
NCGC00261406-01,0.009143
NCGC00261053-01,0.027695
NCGC00261129-01,0.024057
NCGC00261381-01,0.047577
NCGC00261426-01,0.583101
NCGC00260979-01,0.191960
NCGC00260993-01,0.118692
NCGC00261108-01,0.186258
NCGC00261441-01,0.020886
NCGC00261877-01,0.159290
NCGC00260815-01,0.042142
NCGC00261542-01,0.233716
NCGC00261958-01,0.051848
NCGC00261787-01,0.222156
NCGC00261065-01,0.779125
NCGC00261804-01,0.338554
NCGC00260875-01,0.307432
NCGC00261451-01,0.401311
NCGC00261739-01,0.655590
NCGC00261382-01,0.112971
NCGC00261663-01,0.036368
NCGC00260892-01,0.105548
NCGC00261297-01,0.348052
NCGC00261321-01,0.359575
NCGC00261446-01,0.440540
NCGC00261474-01,0.167550
NCGC00260834-01,0.007400
NCGC00260840-01,0.007500
NCGC00260947-01,0.144523
NCGC00261080-01,0.003109
NCGC00261563-01,0.001058
NCGC00261873-01,0.015256
NCGC00260803-01,0.198089
NCGC00260833-01,0.053945
NCGC00261008-01,0.052572
NCGC00261155-01,0.081574
NCGC00261643-01,0.279437
NCGC00261037-01,0.178586
NCGC00261126-01,0.505396
NCGC00260871-01,0.027689
NCGC00260713-01,0.069420
NCGC00261487-01,0.030877
NCGC00261545-01,0.149579
NCGC00261480-01,0.062026
NCGC00261838-01,0.049169
NCGC00261627-01,0.004456
NCGC00261639-01,0.020376
NCGC00261177-01,0.051996
NCGC00260692-01,0.038773
NCGC00260775-01,0.041557
NCGC00260876-01,0.052044
NCGC00261598-01,0.070652
NCGC00260707-01,0.005943
NCGC00261554-01,0.143830
NCGC00261713-01,0.415019
NCGC00261737-01,0.268399
NCGC00261882-01,0.357167
NCGC00261933-01,0.088151
NCGC00261201-01,0.034989
NCGC00261398-01,0.000310
NCGC00261601-01,0.007082
NCGC00261003-01,0.035045
NCGC00261019-01,0.034746
NCGC00261519-01,0.010522
NCGC00261732-01,0.013345
NCGC00261718-01,0.025881
NCGC00260743-01,0.032629
NCGC00260751-01,0.016784
NCGC00260867-01,0.040743
NCGC00260982-01,0.018558
NCGC00261176-01,0.030187
NCGC00261289-01,0.006762
NCGC00261440-01,0.028370
NCGC00261657-01,0.023097
NCGC00260822-01,0.195949
NCGC00261142-01,0.083693
NCGC00261582-01,0.011540
NCGC00261825-01,0.137442
NCGC00261833-01,0.177914
NCGC00261835-01,0.184924
NCGC00261860-01,0.138669
NCGC00261906-01,0.199057
NCGC00261916-01,0.234906
NCGC00261939-01,0.111753
NCGC00261869-01,0.009177
NCGC00261163-01,0.012358
NCGC00261653-01,0.005543
NCGC00261248-01,0.026418
NCGC00260770-01,0.026861
NCGC00261013-01,0.188822
NCGC00261910-01,0.302271
NCGC00261686-01,0.037954
NCGC00261147-01,0.005176
NCGC00261578-01,0.006506
NCGC00261336-01,0.222523
NCGC00261593-01,0.040907
NCGC00260821-01,0.029096
NCGC00261007-01,0.046295
NCGC00261246-01,0.037191
NCGC00261949-01,0.028073
NCGC00260890-01,0.161854
NCGC00261294-01,0.107096
NCGC00261330-01,0.164887
NCGC00261470-01,0.180877
NCGC00260691-01,0.046732
NCGC00261693-01,0.173701
NCGC00261293-01,0.008288
NCGC00261018-01,0.028241
NCGC00261075-01,0.207993
NCGC00261150-01,0.067465
NCGC00261767-01,0.110853
NCGC00261824-01,0.094242
NCGC00261146-01,0.087657
NCGC00260817-01,0.088492
NCGC00261161-01,0.137167
NCGC00260728-01,0.184503
NCGC00261286-01,0.174461
NCGC00261254-01,0.035398
NCGC00261261-01,0.061227
NCGC00261691-01,0.148251
NCGC00261921-01,0.080083
NCGC00260962-01,0.226452
NCGC00261028-01,0.225779
NCGC00261349-01,0.192474
NCGC00261583-01,0.597407
NCGC00261672-01,0.123006
NCGC00261620-01,0.556759
NCGC00261141-01,0.253467
NCGC00261752-01,0.241004
NCGC00261828-01,0.182434
NCGC00261913-01,0.031847
NCGC00261473-01,0.093443
NCGC00356953-01,0.087080
NCGC00357009-01,0.016530
NCGC00357188-01,0.513486
NCGC00357201-01,0.313736
NCGC00357189-01,0.026009
NCGC00357163-01,0.100251
NCGC00357001-01,0.042631
NCGC00357030-01,0.012801
NCGC00357123-01,0.198436
NCGC00357004-01,0.058838
NCGC00357103-01,0.042216
NCGC00357289-01,0.028752
NCGC00357082-01,0.307898
NCGC00356999-01,0.119563
NCGC00357116-01,0.514949
NCGC00357010-01,0.283674
NCGC00357171-01,0.009064
NCGC00356964-01,0.062417
NCGC00356995-01,0.052745
NCGC00357062-01,0.197294
NCGC00357205-01,0.297595
NCGC00357185-01,0.277025
NCGC00357028-01,0.202093
NCGC00357064-01,0.235389
NCGC00357196-01,0.559825
NCGC00357271-01,0.613936
NCGC00357198-01,0.013766
NCGC00357079-01,0.043530
NCGC00356984-01,0.133948
NCGC00357080-01,0.024543
NCGC00357173-01,0.020870
NCGC00357277-01,0.034080
NCGC00357240-01,0.005473
NCGC00357145-01,0.079811
NCGC00357157-01,0.030761
NCGC00357160-01,0.000629
NCGC00357107-01,0.016165
NCGC00357106-01,0.001423
NCGC00357047-01,0.010537
NCGC00357174-01,0.026026
NCGC00357090-01,0.019971
NCGC00357204-01,0.025738
NCGC00357214-01,0.028717
NCGC00357124-01,0.015309
NCGC00356983-01,0.031564
NCGC00357092-01,0.033178
NCGC00357042-01,0.032022
NCGC00357036-01,0.015849
NCGC00357089-01,0.027003
NCGC00357170-01,0.028644
NCGC00357132-01,0.032478
NCGC00357265-01,0.032503
NCGC00357260-01,0.051592
NCGC00357023-01,0.020592
NCGC00357114-01,0.157994
NCGC00357033-01,0.040953
NCGC00357120-01,0.033072
NCGC00356963-01,0.041923
NCGC00357055-01,0.664091
NCGC00357139-01,0.125589
NCGC00357026-01,0.589989
NCGC00357242-01,0.650131
NCGC00357161-01,0.197609
NCGC00357279-01,0.026449
NCGC00357288-01,0.901488
NCGC00356973-01,0.022562
NCGC00357143-01,0.032926
NCGC00357182-01,0.045949
NCGC00356971-01,0.017411
NCGC00357084-01,0.016048
NCGC00357112-01,0.026295
NCGC00356962-01,0.029253
NCGC00356993-01,0.030372
NCGC00357284-01,0.229249
NCGC00357046-01,0.124244
NCGC00357000-01,0.028395
NCGC00357012-01,0.131177
NCGC00356939-01,0.152323
NCGC00356955-01,0.006219
NCGC00357262-01,0.019697
NCGC00356991-01,0.063344
NCGC00357203-01,0.074603
NCGC00357049-01,0.017653
NCGC00357164-01,0.003689
NCGC00357073-01,0.020456
NCGC00357043-01,0.025823
NCGC00357269-01,0.025106
NCGC00357266-01,0.165924
NCGC00357076-01,0.039278
NCGC00357153-01,0.090118
NCGC00357138-01,0.032207
NCGC00357071-01,0.016690
NCGC00357274-01,0.030484
NCGC00356981-01,0.074445
NCGC00357278-01,0.013546
NCGC00357113-01,0.152122
NCGC00357218-01,0.494409
NCGC00357048-01,0.031732
NCGC00357162-01,0.019735
NCGC00356941-01,0.025117
NCGC00357184-01,0.023571
NCGC00357238-01,0.008715
NCGC00357220-01,0.035229
NCGC00357252-01,0.023719
NCGC00357159-01,0.040967
NCGC00356947-01,0.029672
NCGC00357063-01,0.034679
NCGC00356982-01,0.040659
NCGC00357219-01,0.201446
NCGC00357037-01,0.025508
NCGC00356975-01,0.057109
NCGC00357169-01,0.105608
NCGC00357022-01,0.206480
NCGC00357165-01,0.030904
NCGC00357122-01,0.163063
NCGC00357212-01,0.182509
NCGC00357263-01,0.461305
NCGC00357052-01,0.119340
NCGC00356952-01,0.261473
NCGC00357225-01,0.215578
NCGC00356944-01,0.021820
NCGC00357053-01,0.088728
NCGC00357202-01,0.149806
NCGC00357013-01,0.430040
NCGC00357131-01,0.161935
NCGC00357127-01,0.210944
NCGC00357147-01,0.189268
NCGC00357267-01,0.024014
NCGC00356979-01,0.109312
NCGC00357179-01,0.107165
NCGC00356945-01,0.023871
NCGC00357068-01,0.140969
NCGC00357002-01,0.271353
NCGC00356974-01,0.036346
NCGC00357109-01,0.605505
NCGC00356988-01,0.554775
NCGC00357117-01,0.271159
NCGC00357239-01,0.043397
NCGC00356961-01,0.154463
NCGC00356966-01,0.079759
NCGC00356996-01,0.027875
NCGC00356950-01,0.156959
NCGC00356969-01,0.094802
NCGC00357050-01,0.020064
NCGC00357258-01,0.154490
NCGC00357186-01,0.021170
NCGC00357115-01,0.017181
NCGC00356940-01,0.049508
NCGC00357130-01,0.057929
NCGC00356959-01,0.020242
NCGC00356985-01,0.005607
NCGC00357125-01,0.011692
NCGC00357270-01,0.028671
NCGC00357031-01,0.012642
NCGC00357137-01,0.009946
NCGC00357102-01,0.038110
NCGC00357228-01,0.073643
NCGC00356965-01,0.171963
NCGC00357151-01,0.086395
NCGC00357280-01,0.119028
NCGC00357097-01,0.463081
NCGC00357272-01,0.016554
NCGC00357229-01,0.025468
NCGC00357200-01,0.032086
NCGC00357273-01,0.100693
NCGC00357088-01,0.023990
NCGC00357101-01,0.024719
NCGC00357287-01,0.016022
NCGC00357253-01,0.013364
NCGC00357177-01,0.012373
NCGC00357152-01,0.026610
NCGC00357140-01,0.129766
NCGC00357086-01,0.027751
NCGC00357150-01,0.022002
NCGC00357040-01,0.021326
NCGC00357172-01,0.126512
NCGC00357135-01,0.037816
NCGC00357207-01,0.611454
NCGC00356990-01,0.070617
NCGC00357276-01,0.048770
NCGC00357016-01,0.012959
NCGC00357247-01,0.039434
NCGC00357286-01,0.042048
NCGC00357255-01,0.228120
NCGC00357025-01,0.165108
NCGC00357008-01,0.154679
NCGC00357128-01,0.489401
NCGC00356978-01,0.410136
NCGC00357072-01,0.487923
NCGC00357195-01,0.196670
NCGC00357215-01,0.242151
NCGC00357038-01,0.384858
NCGC00357208-01,0.072469
NCGC00357099-01,0.056604
NCGC00357007-01,0.006067
NCGC00356989-01,0.806886
NCGC00357246-01,0.551867
NCGC00357081-01,0.294549
NCGC00357281-01,0.577131
NCGC00357244-01,0.048354
NCGC00357194-01,0.168100
NCGC00357193-01,0.039334
NCGC00357006-01,0.007195
NCGC00357041-01,0.037223
NCGC00357074-01,0.017211
NCGC00357166-01,0.046873
NCGC00357070-01,0.025414
NCGC00357222-01,0.049371
NCGC00357245-01,0.023702
NCGC00357217-01,0.009183
NCGC00357015-01,0.005904
NCGC00357261-01,0.203160
NCGC00357060-01,0.016403
NCGC00357104-01,0.187076
NCGC00357176-01,0.166328
NCGC00357187-01,0.078249
NCGC00357066-01,0.151887
NCGC00357216-01,0.191532
NCGC00357148-01,0.594871
NCGC00357078-01,0.132706
NCGC00357027-01,0.037019
NCGC00357180-01,0.300188
NCGC00356946-01,0.111898
NCGC00356970-01,0.475732
NCGC00357191-01,0.420662
NCGC00357077-01,0.123857
NCGC00357069-01,0.045481
NCGC00356958-01,0.203403
NCGC00357121-01,0.200871
NCGC00357067-01,0.189517
NCGC00357243-01,0.205394
NCGC00357100-01,0.043259
NCGC00356960-01,0.033469
NCGC00357136-01,0.051007
NCGC00357158-01,0.040927
NCGC00357126-01,0.220501
NCGC00357110-01,0.404263
NCGC00357178-01,0.766253
NCGC00357167-01,0.268940
NCGC00357096-01,0.135041
NCGC00357230-01,0.504742
NCGC00357257-01,0.139647
NCGC00356951-01,0.048367
NCGC00357241-01,0.005098
NCGC00357024-01,0.000080
NCGC00357233-01,0.000001
NCGC00357197-01,0.043555
NCGC00357142-01,0.027008
NCGC00357231-01,0.657871
NCGC00357044-01,0.233022
NCGC00357209-01,0.273627
NCGC00357045-01,0.321424
NCGC00357075-01,0.121380
NCGC00356938-01,0.172984
NCGC00357065-01,0.176673
NCGC00357094-01,0.170876
NCGC00357083-01,0.108180
NCGC00357085-01,0.472333
NCGC00357236-01,0.127204
NCGC00357035-01,0.028677
NCGC00357108-01,0.025709
NCGC00357235-01,0.161390
NCGC00357224-01,0.513297
NCGC00357211-01,0.016251
NCGC00357039-01,0.015302
NCGC00357264-01,0.011398
NCGC00357285-01,0.129457
NCGC00357032-01,0.192682
NCGC00357059-01,0.195531
NCGC00357061-01,0.170281
NCGC00357190-01,0.093291
NCGC00356943-01,0.180114
NCGC00357005-01,0.059809
NCGC00357251-01,0.127994
NCGC00356992-01,0.193777
NCGC00357254-01,0.041993
NCGC00357199-01,0.030808
NCGC00356957-01,0.175333
NCGC00356968-01,0.021338
NCGC00357268-01,0.180106
NCGC00357256-01,0.270323
NCGC00357141-01,0.045230
NCGC00357093-01,0.242434
NCGC00357087-01,0.053160
NCGC00357223-01,0.155049
NCGC00357119-01,0.044360
NCGC00357003-01,0.034005
NCGC00357275-01,0.395782
NCGC00357014-01,0.233081
NCGC00357011-01,0.614047
NCGC00356976-01,0.152955
NCGC00357175-01,0.716789
NCGC00357021-01,0.015513
NCGC00357221-01,0.295827
NCGC00356972-01,0.054365
NCGC00357133-01,0.050122
NCGC00357056-01,0.509271
NCGC00356980-01,0.024182
NCGC00357206-01,0.075259
NCGC00357250-01,0.009335
NCGC00356997-01,0.095828
NCGC00356998-01,0.064248
NCGC00357282-01,0.073868
NCGC00356948-01,0.103660
NCGC00357054-01,0.048424
NCGC00356956-01,0.005131
NCGC00356994-01,0.568539
NCGC00357234-01,0.089610
NCGC00357111-01,0.127659
NCGC00357155-01,0.206231
NCGC00357098-01,0.150070
NCGC00357156-01,0.159022
NCGC00357019-01,0.576209
NCGC00357095-01,0.237334
NCGC00357226-01,0.152851
NCGC00357249-01,0.368924
NCGC00357017-01,0.545235
NCGC00357259-01,0.022651
NCGC00357051-01,0.367628
NCGC00356954-01,0.026768
NCGC00357020-01,0.081355
NCGC00357168-01,0.034372
NCGC00357283-01,0.031266
NCGC00357210-01,0.248338
NCGC00357118-01,0.281786
NCGC00357144-01,0.137115
